kode_susenas,ingredient,proportion_pct,source,source_code,note,energy,protein,fat,carbohydrate,fiber,ash,calcium,phosphorus,iron,sodium,potassium,copper,zinc,retinol,beta_carotene,thiamin,riboflavin,niacin,vitamin_c,dha_epa,bdd
162,Air (soup water),8.55,water,-,"mineral water, composition as item 175",0,0,0,0,0,0,0.914,0,0,3.5,0.3,0,0,0,0,0,0,0,0,0,100
165,Chicken satay (MyFCD),16.666666666666668,myfcd,222016,the three satays average to the sate half,243,18.9,12.9,12.7,1.9,1.1,29,335,2.9,135,221,,,84,,0.03,0.12,6.7,0,,100
165,Beef satay (MyFCD),16.666666666666668,myfcd,222006,,240,20.4,7.8,22.1,0.3,2.7,17,462,3.9,92,202,,,72,,0.13,0.22,5.3,0,,100
165,Mutton satay (MyFCD),16.666666666666668,myfcd,236003,,211,41.7,4.9,0,0,1.6,44,412,2.7,113,234,,,5,,0.13,0.19,5.5,0.5,,100
165,"Tongseng: Kambing, daging, segar",15,tkpi,FR019,,,,,,,,,,,,,,,,,,,,,,
165,"Tongseng: Daun kubis, segar",5,tkpi,DR044,,,,,,,,,,,,,,,,,,,,,,
165,"Tongseng: Tomat merah, segar",2.5,tkpi,DR161,,,,,,,,,,,,,,,,,,,,,,
165,Tongseng: Santan (dengan air),7.5,tkpi,KP003,,,,,,,,,,,,,,,,,,,,,,
165,Tongseng: Kecap,2.5,tkpi,NP005,,,,,,,,,,,,,,,,,,,,,,
165,Tongseng: Minyak kelapa sawit,1.5,tkpi,KR012,,,,,,,,,,,,,,,,,,,,,,
165,Tongseng: Gula kelapa,0.5,tkpi,MP006,bumbu,,,,,,,,,,,,,,,,,,,,,
165,"Tongseng: Bawang merah, segar",1.5,tkpi,NR007,bumbu,,,,,,,,,,,,,,,,,,,,,
165,"Tongseng: Bawang putih, segar",0.75,tkpi,NR008,bumbu,,,,,,,,,,,,,,,,,,,,,
165,"Tongseng: Cabai rawit, segar",0.5,tkpi,NR015,bumbu,,,,,,,,,,,,,,,,,,,,,
165,"Tongseng: Jahe, segar",0.25,tkpi,NR018,bumbu,,,,,,,,,,,,,,,,,,,,,
165,"Tongseng: Lengkuas, segar",0.25,tkpi,NR010,bumbu,,,,,,,,,,,,,,,,,,,,,
165,Tongseng: Garam (iodized salt),0.25,usda,746775,,0,0,0,0,0,99,50,0,0,38700,2,0,0,0,0,0,0,0,0,,100
165,Tongseng: Air (broth),12,water,-,"mineral water, composition as item 175",0,0,0,0,0,0,0.914,0,0,3.5,0.3,0,0,0,0,0,0,0,0,0,100
171,"Sapi, daging, asap",20,tkpi,FP013,,,,,,,,,,,,,,,,,,,,,,
171,"Sapi, daging, kornet",20,tkpi,FP015,,,,,,,,,,,,,,,,,,,,,,
171,"Sapi, sosis",20,tkpi,FP016,,,,,,,,,,,,,,,,,,,,,,
171,"Sapi, hati, sosis",20,tkpi,FP017,,,,,,,,,,,,,,,,,,,,,,
171,"Chicken nuggets, white meat, frozen, precooked",20,usda,172112,adds the processed-chicken side of the item,261,14.4,15.4,16.2,0.7,2.09,38,213,1.43,538,281,0.139,0.75,16,0,0.106,0.055,6.74,0,,100
172,"Beras giling, mentah",14.25,tkpi,AR001,rice-to-water 1:5 (porridge),,,,,,,,,,,,,,,,,,,,,
172,Air (cooking water),71.25,water,-,"mineral water, composition as item 175",0,0,0,0,0,0,0.914,0,0,3.5,0.3,0,0,0,0,0,0,0,0,0,100
172,"Ayam, daging, segar (edible flesh)",7,tkpi,FR005,proportion refers to flesh added; bdd not reapplied,,,,,,,,,,,,,,,,,,,,,
172,Minyak kelapa sawit,1.5,tkpi,KR012,,,,,,,,,,,,,,,,,,,,,,
172,Kecap,1,tkpi,NP005,,,,,,,,,,,,,,,,,,,,,,
172,Kerupuk udang goreng,2,tkpi,BP045,,,,,,,,,,,,,,,,,,,,,,
172,"Seledri, segar",1,tkpi,DR147,,,,,,,,,,,,,,,,,,,,,,
172,Garam (iodized salt),1,usda,746775,,0,0,0,0,0,99,50,0,0,38700,2,0,0,0,0,0,0,0,0,,100
172,"Jahe, segar",1,tkpi,NR018,bumbu,,,,,,,,,,,,,,,,,,,,,
173,"Ikan tenggiri, segar (fish book raw tenggiri, item 19)",22,aquatic,19,"main fish component, from the current fish book (fish_book_afcd.csv, 4 Sep 2026; indonesia_fct_aquatic_food.csv item 19). bdd 51.7% is the fish book edible portion for raw tenggiri",,,,,,,,,,,,,,,,,,,,,
173,Tepung tapioka,18,tkpi,BP070,,,,,,,,,,,,,,,,,,,,,,
173,"Tahu, mentah",15,tkpi,CP061,main 2,,,,,,,,,,,,,,,,,,,,,
173,"Kentang, segar",10,tkpi,BR013,,,,,,,,,,,,,,,,,,,,,,
173,"Daun kubis, segar",6,tkpi,DR044,,,,,,,,,,,,,,,,,,,,,,
173,"Telur ayam ras, segar",4,tkpi,HR002,binder,,,,,,,,,,,,,,,,,,,,,
173,"Bawang putih, segar",1,tkpi,NR008,bumbu,,,,,,,,,,,,,,,,,,,,,
173,"Minyak kelapa sawit (frying, batagor)",5,tkpi,KR012,,,,,,,,,,,,,,,,,,,,,,
173,Peanut satay sauce (Thai Wonder),10,usda,1852651,peanut dipping sauce,158,5.26,2.63,22.8,1.8,,0,,0.63,421,,,,,,,,,,,100
173,Garam (iodized salt),0.5,usda,746775,,0,0,0,0,0,99,50,0,0,38700,2,0,0,0,0,0,0,0,0,,100
173,Air (steaming loss margin),8.5,water,-,"mineral water, composition as item 175",0,0,0,0,0,0,0.914,0,0,3.5,0.3,0,0,0,0,0,0,0,0,0,100
175,"Water, bottled mineral (Le Minerale as reference brand)",100,water,-,"naturally occurring minerals, captured from the product's nutrition facts (mg/L): Ca 9.14, Mg 5.87, Na 35.0, K 3.0, nitrate 1.55, bicarbonate 118.0, sulfate 3.06, chloride <0.01, TDS 177, pH 7.2-7.7. Only calcium, sodium and potassium have columns in this panel; the leading brand (Aqua) names its minerals but publishes no amounts, so the second brand's table stands in",0,0,0,0,0,0,0.914,0,0,3.5,0.3,0,0,0,0,0,0,0,0,0,100
176,"Water, bottled mineral (19 L; Le Minerale as reference brand)",100,water,-,same composition as item 175,0,0,0,0,0,0,0.914,0,0,3.5,0.3,0,0,0,0,0,0,0,0,0,100
181,Es cincau: Grass jelly drink with honey (Hong Van),19.333333333333332,usda,498708,"no cincau entry in any FCD - a canned grass jelly drink stands in; values per 100 ml, incl. its sugar and water",42.9,0,0,10.7,0,,13,,,25,,,,,,,,,,,100
181,Es cincau: Santan (dengan air),3.3333333333333335,tkpi,KP003,,,,,,,,,,,,,,,,,,,,,,
181,Es cincau: Gula kelapa,2.6666666666666665,tkpi,MP006,,,,,,,,,,,,,,,,,,,,,,
181,"Es cincau: Nangka masak pohon, segar",1.3333333333333333,tkpi,ER071,,,,,,,,,,,,,,,,,,,,,,
181,Es cincau: Air / es,6.666666666666667,water,-,"mineral water, composition as item 175",0,0,0,0,0,0,0.914,0,0,3.5,0.3,0,0,0,0,0,0,0,0,0,100
181,Es campur: Air / es,7,water,-,"mineral water, composition as item 175",0,0,0,0,0,0,0.914,0,0,3.5,0.3,0,0,0,0,0,0,0,0,0,100
181,"Es campur: Kelapa muda, air, segar",5,tkpi,QR001,,,,,,,,,,,,,,,,,,,,,,
181,"Es campur: Kelapa muda, daging, segar",4,tkpi,ER046,,,,,,,,,,,,,,,,,,,,,,
181,Es campur: Susu kental manis,2.6666666666666665,tkpi,JP007,,,,,,,,,,,,,,,,,,,,,,
181,Es campur: Sirup,2,tkpi,MP014,,,,,,,,,,,,,,,,,,,,,,
181,"Es campur: Mangga, segar",3.3333333333333335,tkpi,ER054,,,,,,,,,,,,,,,,,,,,,,
181,"Es campur: Nanas, segar",3.3333333333333335,tkpi,ER070,,,,,,,,,,,,,,,,,,,,,,
181,"Es campur: Nangka masak pohon, segar",2,tkpi,ER071,,,,,,,,,,,,,,,,,,,,,,
181,"Es campur: Alpukat, segar",4,tkpi,ER001,,,,,,,,,,,,,,,,,,,,,,
181,Es kacang merah: Air / es,13.333333333333334,water,-,"mineral water, composition as item 175",0,0,0,0,0,0,0.914,0,0,3.5,0.3,0,0,0,0,0,0,0,0,0,100
181,"Es kacang merah: Kacang merah segar, rebus",6.666666666666667,tkpi,CP009,boiled fresh red beans,,,,,,,,,,,,,,,,,,,,,
181,Es kacang merah: Susu kental manis,3.3333333333333335,tkpi,JP007,,,,,,,,,,,,,,,,,,,,,,
181,"Es kacang merah: Kelapa muda, daging, segar",1.6666666666666667,tkpi,ER046,,,,,,,,,,,,,,,,,,,,,,
181,"Es kacang merah: Kelapa muda, air, segar",2.6666666666666665,tkpi,QR001,,,,,,,,,,,,,,,,,,,,,,
181,"Es kacang merah: Sirsak, segar",2.3333333333333335,tkpi,ER106,,,,,,,,,,,,,,,,,,,,,,
181,"Es kacang merah: Nangka masak pohon, segar",1.3333333333333333,tkpi,ER071,,,,,,,,,,,,,,,,,,,,,,
181,"Es kacang merah: Alpukat, segar",2,tkpi,ER001,,,,,,,,,,,,,,,,,,,,,,
182,"Beer, regular, all (Bir Bintang proxy)",50,usda,168746,,43,0.46,0,3.55,0,0.16,4,14,0.02,4,27,0.005,0.01,0,0,0.005,0.025,0.513,0,,100
182,"Distilled spirits, 100 proof (arak/sopi proxy)",50,usda,173664,"50% ABV matches arak. North Maluku's own spirit is sopi (distilled aren/palm sap) - no FCD entry exists anywhere, this is its stand-in",295,0,0,0,0,0.01,0,4,0.04,1,2,0.021,0.04,0,0,0.006,0.004,0.013,0,,100
